matchDate,matchId,team,teamNo,passes,shotsOnTarget,shotsOffTarget,corners,foulsConceded,accuratePasses,goals,foulsWon,possession,offSide,yellowCards,popularity
2015-12-29,341370,Man City,9,498,5,9,13,8,76,0,11,60.7,1,3,72
2015-08-08,341192,Man Utd,10,487,1,4,1,12,82,1,12,50,1,2,87
2015-08-14,341197,Man Utd,10,534,2,4,5,10,86,1,13,54.4,3,2,78
2015-08-22,341211,Man Utd,10,637,8,3,11,15,89,0,11,69.3,4,2,92
2015-08-30,341225,Man Utd,10,657,4,6,1,15,82,1,6,64.5,1,2,73
2015-09-12,341231,Man Utd,10,559,3,3,4,6,84,3,11,55.7,2,1,63
2015-09-20,341243,Man Utd,10,575,3,5,5,13,86,3,6,59.2,3,0,77
2015-09-26,341249,Man Utd,10,603,7,1,5,12,87,3,15,66.2,0,0,77
2015-10-04,341257,Man Utd,10,632,5,3,6,17,87,0,8,62.2,3,3,50
2015-10-17,341269,Man Utd,10,524,7,2,3,14,85,3,12,52.8,1,2,36
2015-10-25,341282,Man Utd,10,543,1,2,6,17,82,0,13,58.7,0,2,71
2015-10-31,341288,Man Utd,10,456,1,2,3,15,82,0,12,55.4,1,3,71
2015-11-07,341302,Man Utd,10,648,3,5,5,11,83,2,10,67.7,1,1,48
2015-11-21,341315,Man Utd,10,499,6,5,10,12,76,2,6,56.4,5,2,33
2015-11-28,341320,Man Utd,10,593,2,4,8,7,83,1,5,68.9,1,1,52
2015-12-05,341330,Man Utd,10,496,1,11,6,10,83,0,13,62.6,2,1,37
2015-12-12,341338,Man Utd,10,474,5,3,7,12,82,1,11,56.5,2,1,50
2015-12-19,341350,Man Utd,10,605,2,6,11,4,82,1,10,69.2,2,0,41
2015-12-26,341364,Man Utd,10,453,6,3,12,16,77,0,10,58.5,1,2,60
2016-01-02,341381,Man Utd,10,515,6,5,4,14,83,2,9,54.7,1,2,76
2015-12-28,341371,Man Utd,10,617,2,5,5,16,89,0,6,66.8,2,4,76
2015-08-09,341193,Newcastle,11,485,4,3,6,9,82,2,12,56.3,0,2,49
2015-08-15,341203,Newcastle,11,333,2,2,4,8,78,0,11,34.2,1,1,49
2015-08-22,341211,Newcastle,11,280,0,4,5,11,72,0,15,30.7,2,2,100
2015-08-29,341222,Newcastle,11,268,0,1,0,15,77,0,8,26.3,2,6,84
2015-09-14,341236,Newcastle,11,477,4,5,7,11,83,0,6,60.9,2,2,54
2015-09-19,341242,Newcastle,11,493,5,7,5,8,82,1,12,57.6,4,1,54
2015-09-26,341250,Newcastle,11,293,5,3,4,12,69,2,15,35.5,1,1,76
2015-10-03,341263,Newcastle,11,335,4,1,3,8,75,1,13,35.7,3,2,65
2015-10-18,341271,Newcastle,11,373,6,2,3,10,76,6,10,44.2,3,1,43
2015-10-25,341285,Newcastle,11,456,8,8,10,10,80,0,12,60.3,1,2,51
2015-10-31,341291,Newcastle,11,412,6,5,11,6,82,0,15,52.3,4,1,51
2015-11-07,341299,Newcastle,11,300,1,1,0,11,70,1,9,32.7,3,2,26
2015-11-21,341311,Newcastle,11,454,1,4,4,9,77,0,11,54.3,1,4,23
2015-11-28,341319,Newcastle,11,394,2,1,5,13,74,1,5,46.3,1,1,24
2015-12-06,341331,Newcastle,11,389,1,4,2,6,68,2,10,39.8,1,3,70
2015-12-13,341345,Newcastle,11,335,4,2,2,14,65,2,11,41.7,4,2,57
2015-12-19,341351,Newcastle,11,370,4,4,3,9,67,1,13,47.2,0,1,57
2015-12-26,341362,Newcastle,11,365,1,6,3,16,79,0,12,40.9,0,2,47
2016-01-02,341377,Newcastle,11,454,6,5,4,9,85,0,10,49,0,2,68
2015-12-28,341375,Newcastle,11,334,2,3,6,13,79,0,7,48.3,1,0,68
2015-08-08,341194,Norwich,12,470,6,9,1,14,83,1,18,62.9,4,1,57
2015-08-15,341202,Norwich,12,490,6,4,6,7,79,3,7,56.1,1,2,46
2015-08-22,341212,Norwich,12,326,7,8,9,16,79,1,5,42.6,2,4,49
2015-08-30,341223,Norwich,12,348,1,3,4,12,73,0,4,38.9,0,0,40
2015-09-12,341232,Norwich,12,432,4,8,4,10,78,3,11,47.7,0,2,30
2015-09-20,341240,Norwich,12,399,2,4,2,13,70,1,4,41.1,1,2,86
2015-09-26,341256,Norwich,12,482,7,5,5,17,80,2,6,57.1,0,0,86
2015-10-03,341264,Norwich,12,486,2,9,17,4,79,1,4,66.2,2,0,37
2015-10-18,341271,Norwich,12,463,6,6,7,10,81,2,10,55.8,1,1,52
2015-10-24,341283,Norwich,12,466,3,9,13,11,81,0,6,60.6,4,1,52
2015-10-31,341290,Norwich,12,296,3,1,4,13,73,1,4,29.2,0,2,67
2015-11-07,341303,Norwich,12,338,5,4,5,12,82,1,7,32.9,3,1,38
